Campo Formativo,Materia,Grado,Contenido,Proceso de Desarrollo de Aprendizaje (PDA)
Lenguajes,Español,1º,"La diversidad de lenguas y su uso en la comunicación familiar, escolar y comunitaria.","Reconoce la riqueza lingüística de México y el mundo, a partir de obras literarias procedentes de distintas culturas."
Lenguajes,Español,2º,"La diversidad de lenguas y su uso en la comunicación familiar, escolar y comunitaria.","Comprende las características y recursos lingüísticos de la lengua española, para usarlos y valorarlos como parte de la riqueza pluricultural de México y del mundo."
Lenguajes,Español,3º,"La diversidad de lenguas y su uso en la comunicación familiar, escolar y comunitaria.","Analiza y reconoce algunas variantes lingüísticas de la lengua española, para valorarla como riqueza cultural."
Lenguajes,Español,1º,"La diversidad étnica, cultural y lingüística de México a favor de una sociedad intercultural.","Comprende las ideas centrales y secundarias de textos relacionados con la diversidad étnica, cultural y lingüística, que favorecen una sociedad intercultural, para comentarlas en forma oral y escrita."
Lenguajes,Español,2º,"La diversidad étnica, cultural y lingüística de México a favor de una sociedad intercultural.","Compara y contrasta textos sobre las tensiones y conflictos en las sociedades contemporáneas y manifiesta, de manera oral o escrita, la necesidad de practicar la comunicación asertiva."
Lenguajes,Español,3º,"La diversidad étnica, cultural y lingüística de México a favor de una sociedad intercultural.",Analiza textos sobre las sociedades multiculturales y expresa la función que tiene el diálogo intercultural para la construcción democrática y la interacción en sociedad.
Lenguajes,Español,1º,Las lenguas como manifestación de la identidad y del sentido de pertenencia.,"Describe en un texto cómo el lenguaje oral manifiesta las identidades personal y colectiva, para reconocer lo común y lo diferente."
Lenguajes,Español,2º,Las lenguas como manifestación de la identidad y del sentido de pertenencia.,"Comprende y redacta textos narrativos sobre la construcción de la identidad y el sentido de pertenencia, a partir del análisis de variantes del español."
Lenguajes,Español,3º,Las lenguas como manifestación de la identidad y del sentido de pertenencia.,"Elabora textos argumentativos acerca de la interculturalidad crítica, para reconocer el valor de las lenguas, a fin de promoverlas y fortalecerlas."
Lenguajes,Español,1º,El dinamismo de las lenguas y su relevancia como patrimonio cultural.,Identifica y expresa la relevancia de valorar las lenguas como legado de la comunidad.
Lenguajes,Español,2º,El dinamismo de las lenguas y su relevancia como patrimonio cultural.,"Reconoce cambios temporales y geográficos del español en la comunidad, el país o el mundo hispano."
Lenguajes,Español,3º,El dinamismo de las lenguas y su relevancia como patrimonio cultural.,"Analiza en textos literarios neologismos, juegos de lenguajes, caló, jerga, préstamos lingüísticos y extranjerismos como parte del dinamismo de la lengua española."
Lenguajes,Español,1º,La función creativa del español en la expresión de necesidades e intereses comunitarios.,"Identifica una situación problemática de la comunidad, haciendo uso del pensamiento crítico, para plantear diversas formas creativas de resolverla, por ejemplo, con un cuento."
Lenguajes,Español,2º,La función creativa del español en la expresión de necesidades e intereses comunitarios.,"Expresa, mediante un ensayo, una postura crítica sobre necesidades, intereses y problemas de la comunidad."
Lenguajes,Español,3º,La función creativa del español en la expresión de necesidades e intereses comunitarios.,Crea textos literarios de distintos géneros para ofrecer una propuesta de solución a problemas de la comunidad.
Lenguajes,Español,1º,Los elementos y los recursos estéticos de la lengua española en la literatura oral y escrita.,"Reconoce los recursos estéticos en textos literarios líricos, orales y escritos, y disfruta de poemas, canciones y juegos de palabras, entre otros."
Lenguajes,Español,2º,Los elementos y los recursos estéticos de la lengua española en la literatura oral y escrita.,"Analiza las características y recursos estéticos de los textos narrativos, e interpreta y disfruta de cuentos y novelas."
Lenguajes,Español,3º,Los elementos y los recursos estéticos de la lengua española en la literatura oral y escrita.,"Usa creativa e intencionalmente las características y los recursos estéticos de textos dramáticos, para escenificar situaciones vinculadas con la comunidad."
Lenguajes,Español,1º,Textos literarios escritos en español o traducidos.,"Reconoce el valor estético de diversos géneros literarios en textos de su elección, para elaborar comentarios y promover su lectura."
Lenguajes,Español,2º,Textos literarios escritos en español o traducidos.,Analiza diversos textos literarios de su elección para expresar un juicio estético y lo comparte en la comunidad.
Lenguajes,Español,3º,Textos literarios escritos en español o traducidos.,"Elabora un ensayo acerca del tratamiento de un tema de su elección, con base en algún género literario de su preferencia, para argumentar un juicio estético sobre éste."
Lenguajes,Español,1º,Creaciones literarias tradicionales y contemporáneas.,"Recupera y clasifica creaciones literarias de la comunidad o de un lugar de interés, como mitos, leyendas, fábulas, epopeyas, cantares de gesta, refranes, coplas, canciones, corridos y juegos de palabras, para promover de manera creativa su lectura."
Lenguajes,Español,2º,Creaciones literarias tradicionales y contemporáneas.,"Valora textos literarios tradicionales y contemporáneos, como cuentos, novelas, poemas y textos dramáticos; los adapta a otros lenguajes para sensibilizar a la comunidad acerca de la relevancia social y cultural de la literatura."
Lenguajes,Español,3º,Creaciones literarias tradicionales y contemporáneas.,"Crea textos narrativos, poéticos, dramáticos y guiones para audiovisuales, entre otros, a partir del uso de recursos literarios, para exponer una situación real o ficticia."
Lenguajes,Español,1º,"Recursos literarios en lengua española para expresar sensaciones, emociones, sentimientos e ideas vinculados con las familias, la escuela y la comunidad.","Identifica recursos literarios en lengua española y los emplea en la elaboración de cartas personales y biografías, para expresar sensaciones, emociones, sentimientos e ideas que experimenta en su entorno familiar, escolar o comunitario."
